system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
000000000000000008d7_0,0.08205,0.04215,0.05775,0.05225,0.2899,0.55881166,0.6945784,-0.6677693,0.4232915777461798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63832283869299,10.85834108103051]}"
000000000000000008d8_0,0.3627,0.5167,0.5008,0.48465,0.6345,0.27256322,0.13389629,-0.11776624,0.13882287573349208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64398222498293,10.853310515439441]}"
000000000000000008d9_0,0.06455,0.0292,0.0409,0.03045,0.2565,0.597882,0.7877679,-0.7249496,0.43087236430535497,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64020930078964,10.858071586445273]}"
000000000000000008da_0,0.3139,0.2858,0.29755,0.29795,0.458,0.18668222,0.21172036,-0.21236187,0.19115013045323237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64038896384646,10.869749685138828]}"
000000000000000008db_0,0.1409,0.0829,0.09905,0.0755,0.3783,0.45724192,0.6672543,-0.5850005,0.4762004804523029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63481940908493,10.872803957104834]}"
000000000000000008dc_0,0.0893,0.03045,0.0471,0.05795,0.158,0.27780026,0.4633017,-0.5407119,0.209616603554403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64155677371582,10.875768397542428]}"
000000000000000008dd_0,0.09855,0.0596,0.06235,0.05755,0.2288,0.39789218,0.59804434,-0.5716984,0.3266675168802291,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.641377110659,10.87487008225831]}"
000000000000000008de_0,0.10025,0.0408,0.0606,0.09105,0.106,0.027878791,0.07586907,-0.27250898,0.032171292872784515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64461104568183,10.873792103917365]}"
000000000000000008df_0,0.3222,0.29125,0.3151,0.3052,0.476,0.19268355,0.21863799,-0.20338768,0.19996877641533756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63625671353951,10.875948060599253]}"
000000000000000008e0_0,0.38035,0.5575,0.54595,0.52575,0.6436,0.25709262,0.10078249,-0.082089856,0.10589451689744492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63814317563616,10.873792103917365]}"
